Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1u","C_0402_1005Metric",55.746265,-29.959144,180.000000,top
"C2","0.1u","C_0402_1005Metric",59.146265,-34.069144,-90.000000,top
"C3","100n","C_0402_1005Metric",75.146265,-29.819144,0.000000,top
"C4","4.7u","C_0402_1005Metric",61.726265,-27.269144,180.000000,top
"C5","100n","C_0402_1005Metric",67.446265,-38.839144,-90.000000,top
"C6","100n","C_0402_1005Metric",75.146265,-30.819144,0.000000,top
"C7","100n","C_0402_1005Metric",75.146265,-28.819144,0.000000,top
"C8","100n","C_0402_1005Metric",75.146265,-27.819144,0.000000,top
"C9","100n","C_0402_1005Metric",65.746265,-22.719144,90.000000,top
"C10","100n","C_0402_1005Metric",64.746265,-22.719144,90.000000,top
"C11","100n","C_0402_1005Metric",69.446265,-38.839144,-90.000000,top
"C12","100n","C_0402_1005Metric",65.446265,-38.859144,-90.000000,top
"C13","100n","C_0402_1005Metric",59.126265,-28.019144,180.000000,top
"C14","100n","C_0402_1005Metric",60.546265,-34.669144,180.000000,top
"C15","0.1u","C_0402_1005Metric",55.746265,-31.069144,180.000000,top
"C16","0.1u","C_0402_1005Metric",58.146265,-34.069144,-90.000000,top
"C17","4.7u","C_0402_1005Metric",71.746265,-25.019144,-90.000000,top
"C18","4.7u","C_0402_1005Metric",69.496265,-25.269144,0.000000,top
"C19","4.7u","C_0402_1005Metric",69.496265,-24.269144,0.000000,top
"C21","0.1u","C_0402_1005Metric",78.746265,-32.519144,-90.000000,top
"C22","0.1u","C_0402_1005Metric",78.246265,-35.269144,-90.000000,top
"C23","0.1u","C_0402_1005Metric",80.646265,-32.419144,0.000000,top
"C24","22pF","C_0402_1005Metric",80.646265,-28.419144,0.000000,top
"C25","100n","C_0402_1005Metric",70.417434,-38.816937,-90.000000,top
"C26","1u","C_0402_1005Metric",39.446265,-27.469144,-90.000000,top
"C27","1u","C_0402_1005Metric",34.446265,-27.469144,-90.000000,top
"C28","1u","C_0402_1005Metric",39.446265,-31.856644,-90.000000,top
"C29","1u","C_0402_1005Metric",34.696265,-31.869144,-90.000000,top
"C30","1u","C_0402_1005Metric",39.333765,-36.469144,-90.000000,top
"C31","1u","C_0402_1005Metric",34.583765,-36.469144,-90.000000,top
"C32","100n","C_0402_1005Metric",78.746265,-30.519144,90.000000,top
"D1","LED","D_0603_1608Metric",26.896265,-27.519144,0.000000,top
"D2","LED","D_0603_1608Metric",26.858765,-30.519144,0.000000,top
"D3","LED","D_0603_1608Metric",26.896265,-33.519144,0.000000,top
"D4","LED","D_0603_1608Metric",26.896265,-36.519144,0.000000,top
"J2","Conn_02x04_Counter_Clockwise","Molex_SlimStack_502426-0810_2x04_P0.40mm_Vertical",67.646265,-19.206644,180.000000,top
"J3","Conn_02x07_Counter_Clockwise","Molex_SlimStack_502426-1410_2x07_P0.40mm_Vertical",65.996265,-45.231644,0.000000,top
"L1","3.3u","L_pol_2016",69.496265,-22.519144,0.000000,top
"R1","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",61.646265,-33.019144,-90.000000,top
"R2","33","R_0402_1005Metric",71.746265,-23.019144,90.000000,top
"R3","27","R_0402_1005Metric",66.746265,-22.719144,-90.000000,top
"R4","27","R_0402_1005Metric",67.746265,-22.719144,-90.000000,top
"R6","1k","R_0402_1005Metric",63.746265,-22.719144,90.000000,top
"R9","0R","R_0402_1005Metric",80.646265,-36.519144,0.000000,top
"R10","DNF","R_0402_1005Metric",66.446265,-38.839144,-90.000000,top
"R11","0R","R_0402_1005Metric",80.626265,-29.419144,0.000000,top
"R12","10k","R_0402_1005Metric",80.646265,-35.419144,180.000000,top
"R13","0R","R_0402_1005Metric",80.626265,-30.419144,0.000000,top
"R14","10k","R_0402_1005Metric",80.646265,-34.419144,180.000000,top
"R15","1k","R_0402_1005Metric",70.636265,-41.769144,0.000000,top
"R16","10k","R_0402_1005Metric",80.646265,-33.419144,180.000000,top
"R17","10k","R_0402_1005Metric",80.646265,-31.419144,0.000000,top
"R18","10k","R_0402_1005Metric",30.146265,-27.519144,180.000000,top
"R19","10k","R_0402_1005Metric",30.108765,-30.519144,180.000000,top
"R20","10k","R_0402_1005Metric",30.146265,-33.519144,180.000000,top
"R21","10k","R_0402_1005Metric",30.146265,-36.519144,180.000000,top
"U1","ICM-45686","IC_ICM-45686",58.896265,-30.819144,-90.000000,top
"U3","RP2350_60QFN","RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias",67.124000,-30.812500,0.000000,top
"U4","TLV75533PDRV","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",36.946265,-27.569144,0.000000,top
"U5","TLV73328PDRV","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",36.946265,-31.869144,0.000000,top
"U6","TLV73315PDRV","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",36.846265,-36.319144,0.000000,top
"Y1","SiT8008xx-1x-xxE","Oscillator_SMD_SiT_PQFN-4Pin_2.5x2.0mm",73.002434,-38.871937,0.000000,top
